# stellar grid interpolation table from Yusof+ 2022. ADS Bibcode: 2022MNRAS.511.2814Y
# mass[Msun] log(R)[Rsun] log(L)[Lsun] log(Teff)[K]
8.000000000000000444e-01 -1.491268391355016210e-01 -6.633200000000000207e-01 3.670059999999999878e+00
9.000000000000000222e-01 -1.039168391355019261e-01 -4.263799999999999812e-01 3.706690000000000040e+00
1.000000000000000000e+00 -5.704683913550195884e-02 -2.119999999999999940e-01 3.736850000000000005e+00
1.100000000000000089e+00 -8.471839135501755755e-03 -1.105000000000000079e-02 3.762799999999999923e+00
1.250000000000000000e+00 5.946316086449841831e-02 2.248199999999999921e-01 3.787799999999999834e+00
1.350000000000000089e+00 1.025031608644979969e-01 3.872200000000000086e-01 3.806880000000000042e+00
1.500000000000000000e+00 1.552931608644980144e-01 6.112680000000000335e-01 3.836497000000000046e+00
1.699999999999999956e+00 1.811676608644983422e-01 8.558609999999999829e-01 3.884707999999999828e+00
2.000000000000000000e+00 2.042306608644980925e-01 1.155194999999999972e+00 3.948010000000000019e+00
2.500000000000000000e+00 2.465741608644976823e-01 1.548702000000000023e+00 4.025215000000000209e+00
3.000000000000000000e+00 2.873851608644987232e-01 1.859696000000000016e+00 4.082557999999999687e+00
4.000000000000000000e+00 3.562571608644972687e-01 2.334691999999999990e+00 4.166871000000000436e+00
5.000000000000000000e+00 4.079221608644985619e-01 2.689274000000000164e+00 4.229683999999999777e+00
6.999997999999999720e+00 4.883621608644989065e-01 3.204737999999999865e+00 4.318329999999999558e+00
8.999971000000000387e+00 5.508771608644976725e-01 3.574447999999999848e+00 4.379500000000000171e+00
1.199967200000000034e+01 6.183051608644988262e-01 3.974359999999999893e+00 4.445763999999999605e+00
1.499873299999999965e+01 6.709171608644981522e-01 4.265492000000000061e+00 4.492240999999999929e+00
1.999743700000000146e+01 7.401566608644988277e-01 4.617135000000000211e+00 4.545531999999999684e+00
2.499391299999999916e+01 7.944701608644988422e-01 4.869822000000000095e+00 4.581546999999999592e+00
3.198642299999999850e+01 8.556691608644981795e-01 5.129859999999999864e+00 4.615956999999999866e+00
3.997414200000000051e+01 9.123696608644975559e-01 5.348141000000000034e+00 4.642177000000000220e+00
5.993164800000000270e+01 1.013977660864498809e+00 5.707733000000000168e+00 4.681270999999999738e+00
8.486091999999999302e+01 1.105884160864498034e+00 5.984454000000000384e+00 4.704498000000000069e+00
1.197476769999999959e+02 1.201864160864498432e+00 6.234837999999999880e+00 4.719103999999999743e+00
1.496327330000000018e+02 1.267649660864498484e+00 6.385976999999999570e+00 4.723995999999999640e+00
1.993912060000000110e+02 1.359214160864497201e+00 6.570374000000000159e+00 4.724313000000000429e+00
2.988389129999999909e+02 1.507463660864498234e+00 6.814372999999999791e+00 4.711187999999999931e+00
